cMVAv2,OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central,1,-2.4,2.4,30,600,0,1,0.976111+(-(4.37632e-05*x)) ,
0, comb, central,0,-2.4,2.4,30,600,0,1,0.976111+(-(4.37632e-05*x)) ,
0, comb, down,1,-2.4,2.4,30,50,0,1,0.976111+((-(4.37632e-05*x))-0.040088377892971039) ,
0, comb, down,1,-2.4,2.4,50,70,0,1,0.976111+((-(4.37632e-05*x))-0.031489051878452301) ,
0, comb, down,1,-2.4,2.4,70,100,0,1,0.976111+((-(4.37632e-05*x))-0.029133280739188194) ,
0, comb, down,1,-2.4,2.4,100,140,0,1,0.976111+((-(4.37632e-05*x))-0.026893073692917824) ,
0, comb, down,1,-2.4,2.4,140,200,0,1,0.976111+((-(4.37632e-05*x))-0.028560897335410118) ,
0, comb, down,1,-2.4,2.4,200,300,0,1,0.976111+((-(4.37632e-05*x))-0.037686444818973541) ,
0, comb, down,1,-2.4,2.4,300,600,0,1,0.976111+((-(4.37632e-05*x))-0.10688923299312592) ,
0, comb, down,0,-2.4,2.4,30,50,0,1,0.976111+((-(4.37632e-05*x))-0.016035351902246475) ,
0, comb, down,0,-2.4,2.4,50,70,0,1,0.976111+((-(4.37632e-05*x))-0.012595620006322861) ,
0, comb, down,0,-2.4,2.4,70,100,0,1,0.976111+((-(4.37632e-05*x))-0.011653312481939793) ,
0, comb, down,0,-2.4,2.4,100,140,0,1,0.976111+((-(4.37632e-05*x))-0.010757229290902615) ,
0, comb, down,0,-2.4,2.4,140,200,0,1,0.976111+((-(4.37632e-05*x))-0.011424358934164047) ,
0, comb, down,0,-2.4,2.4,200,300,0,1,0.976111+((-(4.37632e-05*x))-0.015074577182531357) ,
0, comb, down,0,-2.4,2.4,300,600,0,1,0.976111+((-(4.37632e-05*x))-0.042755693197250366) ,
0, comb, up,1,-2.4,2.4,30,50,0,1,(0.976111+(-(4.37632e-05*x)))+0.040088377892971039 ,
0, comb, up,1,-2.4,2.4,50,70,0,1,(0.976111+(-(4.37632e-05*x)))+0.031489051878452301 ,
0, comb, up,1,-2.4,2.4,70,100,0,1,(0.976111+(-(4.37632e-05*x)))+0.029133280739188194 ,
0, comb, up,1,-2.4,2.4,100,140,0,1,(0.976111+(-(4.37632e-05*x)))+0.026893073692917824 ,
0, comb, up,1,-2.4,2.4,140,200,0,1,(0.976111+(-(4.37632e-05*x)))+0.028560897335410118 ,
0, comb, up,1,-2.4,2.4,200,300,0,1,(0.976111+(-(4.37632e-05*x)))+0.037686444818973541 ,
0, comb, up,1,-2.4,2.4,300,600,0,1,(0.976111+(-(4.37632e-05*x)))+0.10688923299312592 ,
0, comb, up,0,-2.4,2.4,30,50,0,1,(0.976111+(-(4.37632e-05*x)))+0.016035351902246475 ,
0, comb, up,0,-2.4,2.4,50,70,0,1,(0.976111+(-(4.37632e-05*x)))+0.012595620006322861 ,
0, comb, up,0,-2.4,2.4,70,100,0,1,(0.976111+(-(4.37632e-05*x)))+0.011653312481939793 ,
